Wavelength;Channel 1
1517.599999999993;-33.51
1517.619999999993;-33.51
1517.639999999993;-33.45
1517.659999999993;-33.45
1517.679999999993;-33.4
1517.699999999993;-33.38
1517.719999999993;-33.36
1517.739999999993;-33.33
1517.759999999993;-33.32
1517.779999999993;-33.37
1517.799999999993;-33.41
1517.819999999993;-33.43
1517.8399999999929;-33.48
1517.8599999999929;-33.5
1517.8799999999928;-33.56
1517.8999999999928;-33.66
1517.9199999999928;-33.72
1517.9399999999928;-33.84
1517.9599999999928;-33.91
1517.9799999999927;-33.98
1517.9999999999927;-34.1
1518.0199999999927;-34.21
1518.0399999999927;-34.32
1518.0599999999927;-34.46
1518.0799999999927;-34.61
1518.0999999999926;-34.74
1518.1199999999926;-34.89
1518.1399999999926;-35.06
1518.1599999999926;-35.28
1518.1799999999926;-35.49
1518.1999999999925;-35.74
1518.2199999999925;-35.99
1518.2399999999925;-36.23
1518.2599999999925;-36.53
1518.2799999999925;-37.08
1518.2999999999925;-37.53
1518.3199999999924;-38.04
1518.3399999999924;-38.6
1518.3599999999924;-39.05
1518.3799999999924;-39.71
1518.3999999999924;-40.42
1518.4199999999923;-41.36
1518.4399999999923;-42.31
1518.4599999999923;-43.34
1518.4799999999923;-44.17
1518.4999999999923;-45.03
1518.5199999999923;-46.26
1518.5399999999922;-46.69
1518.5599999999922;-46.72
1518.5799999999922;-46.75
1518.5999999999922;-46.6
1518.6199999999922;-45.31
1518.6399999999921;-43.95
1518.6599999999921;-43.02
1518.679999999992;-41.99
1518.699999999992;-41.01
1518.719999999992;-40.32
1518.739999999992;-39.61
1518.759999999992;-39.15
1518.779999999992;-38.6
1518.799999999992;-37.99
1518.819999999992;-37.36
1518.839999999992;-36.8
1518.859999999992;-36.51
1518.879999999992;-36.12
1518.899999999992;-35.85
1518.919999999992;-35.59
1518.9399999999919;-35.37
1518.9599999999919;-35.18
1518.9799999999918;-34.97
1518.9999999999918;-34.79
1519.0199999999918;-34.71
1519.0399999999918;-34.58
1519.0599999999918;-34.47
1519.0799999999917;-34.36
1519.0999999999917;-34.25
1519.1199999999917;-34.16
1519.1399999999917;-34.13
1519.1599999999917;-34.04
1519.1799999999917;-34.0
1519.1999999999916;-33.98
1519.2199999999916;-33.89
1519.2399999999916;-33.91
1519.2599999999916;-33.86
1519.2799999999916;-33.88
1519.2999999999915;-33.92
1519.3199999999915;-33.91
1519.3399999999915;-33.92
1519.3599999999915;-33.95
1519.3799999999915;-34.02
1519.3999999999915;-34.02
1519.4199999999914;-34.03
1519.4399999999914;-34.09
1519.4599999999914;-34.16
1519.4799999999914;-34.25
1519.4999999999914;-34.36
1519.5199999999913;-34.45
1519.5399999999913;-34.54
1519.5599999999913;-34.66
1519.5799999999913;-34.85
1519.5999999999913;-34.98
1519.6199999999913;-35.15
1519.6399999999912;-35.32
1519.6599999999912;-35.51
1519.6799999999912;-35.7
1519.6999999999912;-35.87
1519.7199999999912;-36.12
1519.7399999999911;-36.36
1519.7599999999911;-36.59
